id,text,latency_s,audio_duration_s,rtf,prompt_tokens,completion_tokens,output_token_rate,audio_ttfp_s,audio_chunk_count,first_audio_payload_bytes,is_success,error
common_voice_en_10119832-common_voice_en_10119840,Get the trust fund to the bank early.,3.5923,2.6400,1.3606,,,,2.0500,2,40320,True,
common_voice_en_10119832-common_voice_en_10119847,The stained glass offered a hypnotic atmosphere.,5.3973,3.3200,1.6256,,,,2.0497,3,40320,True,
common_voice_en_103675-common_voice_en_103676,"One by one, the campfires were extinguished, and the oasis f",13.6554,8.0000,1.7069,,,,2.7707,4,40320,True,
common_voice_en_103675-common_voice_en_103677,The boy knew the desert sensed his fear.,7.3240,4.5600,1.6061,,,,2.7703,3,40320,True,
common_voice_en_10933823-common_voice_en_10933822,"When it comes to the crunch, our company will become insolve",6.7924,4.5200,1.5027,,,,2.7686,3,40320,True,
common_voice_en_10933823-common_voice_en_10933825,The primary coil has fifty turns.,6.2746,3.1200,2.0110,,,,2.7683,3,40320,True,
common_voice_en_120405-common_voice_en_120402,I'm never more aware of a room's acoustics than when I'm try,14.1856,9.2800,1.5286,,,,2.7705,4,40320,True,
common_voice_en_120405-common_voice_en_120406,The only shadow was that of the few scattered pine trees.,8.8553,6.2000,1.4282,,,,2.7705,3,40320,True,
common_voice_en_1205005-common_voice_en_1205007,The work of the tailor is seen on each side.,8.2430,4.0000,2.0607,,,,2.7699,3,40320,True,
common_voice_en_1205005-common_voice_en_1205008,NASA plans to launch the rocket tomorrow.,4.9122,2.9600,1.6594,,,,2.7701,2,40320,True,
common_voice_en_123125-common_voice_en_123126,"After all, who doesn’t want to overcome new challenges and a",9.3723,5.8800,1.5938,,,,2.7702,3,40320,True,
common_voice_en_123125-common_voice_en_123127,"Later, we simply let life proceed, in its own direction, tow",9.8119,6.0800,1.6137,,,,2.7703,3,40320,True,
common_voice_en_125386-common_voice_en_125388,The two men hurried back and found the cylinder still lying ,10.7423,4.9200,2.1833,,,,2.7703,3,40320,True,
common_voice_en_125386-common_voice_en_125389,I thought about the difficulties in translation that might a,10.2602,4.5200,2.2699,,,,2.7700,3,40320,True,
common_voice_en_137148-common_voice_en_137152,"Elvis Presley is often called the ""King of Rock and Roll"".",11.2445,4.3200,2.6028,,,,2.7701,3,40320,True,
common_voice_en_13900-common_voice_en_13901,We don't have the budget to produce it in studio quality.,11.7810,4.4800,2.6296,,,,2.7701,3,40320,True,
common_voice_en_1416089-common_voice_en_1416090,"Also, will numbers be written as digits or as words?",8.9905,4.1200,2.1821,,,,2.3445,3,40320,True,
common_voice_en_1416089-common_voice_en_1416093,"I do not like sushi, so I did not really enjoy the meal.",8.1695,3.6000,2.2692,,,,1.0233,3,40320,True,
common_voice_en_15265-common_voice_en_15266,Large brown dog walks up a blue staircase.,11.7590,4.2000,2.7996,,,,9.7614,3,40320,True,
common_voice_en_15265-common_voice_en_15268,A sky jumper falls toward the sea and the earth.,12.0011,4.2400,2.8304,,,,8.8834,3,40320,True,
common_voice_en_153872-common_voice_en_153873,They set off running wildly into the trees.,12.0400,3.5200,3.4204,,,,8.3658,3,40320,True,
common_voice_en_153872-common_voice_en_153874,A thin circle of bright metal showed between the top and the,12.1823,5.0000,2.4364,,,,7.8358,3,40320,True,
common_voice_en_155313-common_voice_en_155315,Replace the Ts in Tim Tebow's name with any other consonant ,11.8300,6.4000,1.8484,,,,6.9163,3,40320,True,
common_voice_en_15734837-common_voice_en_15734838,"Tyler, Lucy, Michelle, we're going to space!",11.7709,5.2000,2.2636,,,,6.3047,3,40320,True,
common_voice_en_15735839-common_voice_en_15735837,Get out of this!,7.2358,1.4000,5.1683,,,,5.7875,2,40320,True,
common_voice_en_15903802-common_voice_en_15903807,Thousands of people die every year as a consequence of air p,11.3120,4.3200,2.6185,,,,5.3479,3,40320,True,
common_voice_en_15903802-common_voice_en_15903815,History teaches us that humans do not learn from history.,11.3001,3.4000,3.3235,,,,4.8993,3,40320,True,
common_voice_en_16666041-common_voice_en_16666040,"I was well, but I'm all the better for being here.",11.3470,4.6000,2.4667,,,,4.4175,3,40320,True,
